cmake 3.29.2
features core
fix-findwebp.patch 2d78d9a690fc75d58ab83dad770c86a21df4c42d88d1471315db0b90a4fab6d6
libpng 96a6c428b027f1f9388ca7995a40dd2ab3a2b101ee0c18ed4a9cf2d43274b542
portfile.cmake 20adf1d004b17880b4a39bca8349934686556c01784c9e3d635ee74c187d9aaa
ports.cmake 0500e9e2422fe0084c99bdd0c9de4c7069b76da14c8b58228a7e95ebac43058a
post_build_checks 2
powershell 7.2.16
sdl2 d18f48bc5fd6fc35e425237816f46c30e91616513e083abe8d0d54528669671f
triplet x64-windows
triplet_abi 4556164a2cd3dd6f4742101eabb46def7e71b6e5856faa88e5d005aac12a803c-e36df1c7f50ab25f9c182fa927d06c19ae082e0d599f132b3f655784b49e4b33-8a4e041445e4c202d3497c751525215211af66c2
usage d78ce4ac61e158f4a5056753dd2bd7e3b11e7ded1f10a36c8e749029940e651f
vcpkg-cmake 51a74f5b46d57c9f875db90842bdd4ce20f22c0a98045848c811f96de73bbff0
vcpkg-cmake-config 2fff115907f64446bf077b941e2119c91441056e2d2cd45b642179d65ad83c86
vcpkg.json 519ba04cbccea6d41e2ab6cbce90904fcee97e94086cc8f17ab5ad5ec5e79ce3
vcpkg_check_features 943b217e0968d64cf2cb9c272608e6a0b497377e792034f819809a79e1502c2b
vcpkg_copy_pdbs d57e4f196c82dc562a9968c6155073094513c31e2de475694143d3aa47954b1c
vcpkg_fixup_pkgconfig 904e67c46ecbb67379911bc1d7222855c0cbfcf1129bf47783858bcf0cc44970
vcpkg_from_git 96ed81968f76354c00096dd8cd4e63c6a235fa969334a11ab18d11c0c512ff58
vcpkg_from_github b743742296a114ea1b18ae99672e02f142c4eb2bef7f57d36c038bedbfb0502f
vcpkg_install_copyright ba6c169ab4e59fa05682e530cdeb883767de22c8391f023d4e6844a7ec5dd3d2
